/Library/Python/2.7/site-packages/tensorflow/python/ops/gradients_impl.py:93: UserWarning: Converting sparse IndexedSlices to a dense Tensor of unknown shape. This may consume a large amount of memory.
  "Converting sparse IndexedSlices to a dense Tensor of unknown shape. "
2017-07-20 18:39:28.510923: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.2 instructions, but these are available on your machine and could speed up CPU computations.
2017-07-20 18:39:28.510950: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX instructions, but these are available on your machine and could speed up CPU computations.
2017-07-20 18:39:28.510958: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX2 instructions, but these are available on your machine and could speed up CPU computations.
2017-07-20 18:39:28.510964: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use FMA instructions, but these are available on your machine and could speed up CPU computations.
train: (0.53391403, (0.70864195, 0.70916599)) test: SKIP
train: (0.53588384, (0.70916599, 0.70990199)) test: SKIP
train: (0.4319261, (0.70990199, 0.71107215)) test: SKIP
train: (0.48686734, (0.71107215, 0.71165729)) test: SKIP
train: (0.50169557, (0.71165729, 0.71219528)) test: SKIP
train: (0.53361273, (0.71219528, 0.71267718)) test: SKIP
train: (0.45298067, (0.71267718, 0.71364886)) test: SKIP
train: (0.62997317, (0.71364886, 0.71367651)) test: SKIP
train: (0.49770504, (0.71367651, 0.71441013)) test: SKIP
train: (0.43892646, (0.71441013, 0.71526963)) test: SKIP
train: (0.5901072, (0.71526963, 0.71547151)) test: SKIP
train: (0.52844346, (0.71547151, 0.71614969)) test: SKIP
train: (0.51489478, (0.71614969, 0.7165435)) test: SKIP
train: (0.48059684, (0.7165435, 0.7172817)) test: SKIP
train: (0.50358987, (0.7172817, 0.71775985)) test: (0.54526734, (0.71775985, 0.73014259))
train: (0.4710241, (0.73014259, 0.73056996)) test: SKIP
train: (0.53390896, (0.73056996, 0.73080134)) test: SKIP
train: (0.53116083, (0.73080134, 0.73106194)) test: SKIP
train: (0.55219978, (0.73106194, 0.73115683)) test: SKIP
train: (0.56178522, (0.73115683, 0.73116815)) test: SKIP
train: (0.53976893, (0.73116815, 0.73142278)) test: SKIP
train: (0.50596786, (0.73142278, 0.73198521)) test: SKIP
train: (0.5438872, (0.73198521, 0.73220325)) test: SKIP
train: (0.57095861, (0.73220325, 0.73253644)) test: SKIP
